time,state,action,reward,next_state
0.0,"[0.0, 2.857142857142857e-05, 1.4285714285714285e-05, 0.0, 7.142857142857143e-06, 0.0]","[0.05, 0.0, 0.0]",814.4688140383696,"[ 1.19201125e-05  1.38377720e-05  1.45397013e-05  1.14559676e-05
  6.18589574e-06 -3.57142857e-06]"
30.0,"[1.192011254832249e-05, 1.3837771971965759e-05, 1.453970131896122e-05, 1.1455967569628335e-05, 6.185895741317418e-06, -3.571428571428571e-06]","[0.05, 0.0, 0.0]",1712.3570700529726,"[ 1.82385469e-05 -4.61174651e-06  6.32891759e-06  1.78668355e-05
  3.57142857e-06 -6.18589574e-06]"
60.0,"[1.823854690156735e-05, -4.6117465142060545e-06, 6.328917586549182e-06, 1.7866835464726113e-05, 3.5714285714285718e-06, -6.185895741317418e-06]","[-0.0, -0.0, -0.05]",2248.1200071685707,"[ 1.55389562e-05 -1.18965265e-05 -9.29820238e-06  1.65173376e-05
 -6.61212497e-06 -7.57112981e-06]"
90.0,"[1.553895619876816e-05, -1.1896526476846903e-05, -9.298202377994547e-06, 1.651733755418175e-05, -6.6121249747875136e-06, -7.571129808109562e-06]","[-0.0, -0.05, -0.0]",322.2481597466806,"[-1.05955505e-05 -7.86174558e-06 -2.04034979e-05 -8.03058993e-06
 -9.51183311e-06 -3.25072826e-06]"
120.0,"[-1.0595550500298534e-05, -7.86174558428564e-06, -2.0403497933738513e-05, -8.030589931994947e-06, -9.51183310521831e-06, -3.250728261778727e-06]","[0.0, 0.05, 0.0]",132.20678195404412,"[-7.63455661e-06 -3.79055051e-06 -7.41484994e-06 -6.52591681e-06
 -9.86285324e-06  1.94070330e-06]"
150.0,"[-7.63455660846051e-06, -3.7905505092446143e-06, -7.4148499388275624e-06, -6.525916808476411e-06, -9.86285323656624e-06, 1.9407032971087466e-06]","[0.0, 0.05, 0.0]",47.81286783136801,"[ 3.36748244e-06 -6.54513707e-06  1.10932997e-06  3.21388997e-06
 -7.57112981e-06  6.61212497e-06]"
180.0,"[3.367482440556802e-06, -6.545137070585326e-06, 1.109329967620208e-06, 3.2138899696226346e-06, -7.571129808109564e-06, 6.6121249747875136e-06]","[-0.0, -0.05, -0.0]",54.21697608741488,"[-1.02426660e-05  2.49168893e-06 -4.27131569e-06 -9.52703975e-06
 -3.25072826e-06  9.51183311e-06]"
210.0,"[-1.024266598619091e-05, 2.4916889320310746e-06, -4.271315686869577e-06, -9.527039749154899e-06, -3.250728261778728e-06, 9.511833105218307e-06]","[0.0, 0.05, 0.0]",2.0908759258830685,"[ 3.49960384e-06 -2.78906979e-08  4.93127253e-06  2.31501047e-06
  1.94070330e-06  9.86285324e-06]"
240.0,"[3.4996038449570662e-06, -2.7890697938148077e-08, 4.931272528316856e-06, 2.315010473273225e-06, 1.9407032971087445e-06, 9.862853236566238e-06]","[-0.01, -0.0, -0.0]",18.028685877312995,"[ 5.11042435e-06 -2.94446436e-06  2.11276242e-06  4.70188853e-06
  6.61212497e-06  7.57112981e-06]"
270.0,"[5.110424346494872e-06, -2.944464355855698e-06, 2.1127624167411034e-06, 4.701888531565857e-06, 6.612124974787512e-06, 7.571129808109561e-06]","[-0.01, -0.0, -0.0]",25.632725381838554,"[ 4.96510577e-06 -7.67972459e-06 -1.12926688e-06  5.61506722e-06
  9.51183311e-06  3.25072826e-06]"
